image,field,group,item_index,sub_index,token,label,truth,split,dataset_path,cell_path,normalized_path
4461f793dbb45aea03a5.jpg,answer,answer_1,1,0,A,1,A,train,answer_binary\train\filled\4461f793dbb45aea03a5__answer__g-answer_1__i-1__s-0__A.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q01_A.png,normalized\4461f793dbb45aea03a5\answer_1.png
4461f793dbb45aea03a5.jpg,answer,answer_1,2,1,B,1,B,train,answer_binary\train\filled\4461f793dbb45aea03a5__answer__g-answer_1__i-2__s-1__B.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q02_B.png,normalized\4461f793dbb45aea03a5\answer_1.png
4461f793dbb45aea03a5.jpg,answer,answer_1,3,2,C,1,C,train,answer_binary\train\filled\4461f793dbb45aea03a5__answer__g-answer_1__i-3__s-2__C.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q03_C.png,normalized\4461f793dbb45aea03a5\answer_1.png
4461f793dbb45aea03a5.jpg,answer,answer_1,4,1,B,1,B,train,answer_binary\train\filled\4461f793dbb45aea03a5__answer__g-answer_1__i-4__s-1__B.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q04_B.png,normalized\4461f793dbb45aea03a5\answer_1.png
4461f793dbb45aea03a5.jpg,answer,answer_1,5,3,D,1,D,train,answer_binary\train\filled\4461f793dbb45aea03a5__answer__g-answer_1__i-5__s-3__D.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q05_D.png,normalized\4461f793dbb45aea03a5\answer_1.png
4461f793dbb45aea03a5.jpg,answer,answer_1,6,1,B,1,B,train,answer_binary\train\filled\4461f793dbb45aea03a5__answer__g-answer_1__i-6__s-1__B.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q06_B.png,normalized\4461f793dbb45aea03a5\answer_1.png
4461f793dbb45aea03a5.jpg,answer,answer_1,7,2,C,1,C,train,answer_binary\train\filled\4461f793dbb45aea03a5__answer__g-answer_1__i-7__s-2__C.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q07_C.png,normalized\4461f793dbb45aea03a5\answer_1.png
4461f793dbb45aea03a5.jpg,answer,answer_1,8,1,B,1,B,train,answer_binary\train\filled\4461f793dbb45aea03a5__answer__g-answer_1__i-8__s-1__B.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q08_B.png,normalized\4461f793dbb45aea03a5\answer_1.png
4461f793dbb45aea03a5.jpg,answer,answer_1,9,3,D,1,D,train,answer_binary\train\filled\4461f793dbb45aea03a5__answer__g-answer_1__i-9__s-3__D.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q09_D.png,normalized\4461f793dbb45aea03a5\answer_1.png
4461f793dbb45aea03a5.jpg,answer,answer_1,10,2,C,1,C,train,answer_binary\train\filled\4461f793dbb45aea03a5__answer__g-answer_1__i-10__s-2__C.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q10_C.png,normalized\4461f793dbb45aea03a5\answer_1.png
