image,field,group,item_index,sub_index,token,label,truth,aligned,normalized_path,cell_path,x1,y1,x2,y2,width,height
4461f793dbb45aea03a5.jpg,answer,answer_1,1,0,A,1,A,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q01_A.png,93,3,212,62,119,59
4461f793dbb45aea03a5.jpg,answer,answer_1,1,1,B,0,A,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q01_B.png,220,3,339,62,119,59
4461f793dbb45aea03a5.jpg,answer,answer_1,1,2,C,0,A,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q01_C.png,347,3,466,62,119,59
4461f793dbb45aea03a5.jpg,answer,answer_1,1,3,D,0,A,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q01_D.png,474,3,593,62,119,59
4461f793dbb45aea03a5.jpg,answer,answer_1,2,0,A,0,B,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q02_A.png,93,68,212,128,119,60
4461f793dbb45aea03a5.jpg,answer,answer_1,2,1,B,1,B,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q02_B.png,220,68,339,128,119,60
4461f793dbb45aea03a5.jpg,answer,answer_1,2,2,C,0,B,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q02_C.png,347,68,466,128,119,60
4461f793dbb45aea03a5.jpg,answer,answer_1,2,3,D,0,B,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q02_D.png,474,68,593,128,119,60
4461f793dbb45aea03a5.jpg,answer,answer_1,3,0,A,0,C,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q03_A.png,93,134,212,193,119,59
4461f793dbb45aea03a5.jpg,answer,answer_1,3,1,B,0,C,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q03_B.png,220,134,339,193,119,59
4461f793dbb45aea03a5.jpg,answer,answer_1,3,2,C,1,C,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q03_C.png,347,134,466,193,119,59
4461f793dbb45aea03a5.jpg,answer,answer_1,3,3,D,0,C,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q03_D.png,474,134,593,193,119,59
4461f793dbb45aea03a5.jpg,answer,answer_1,4,0,A,0,B,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q04_A.png,93,199,212,259,119,60
4461f793dbb45aea03a5.jpg,answer,answer_1,4,1,B,1,B,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q04_B.png,220,199,339,259,119,60
4461f793dbb45aea03a5.jpg,answer,answer_1,4,2,C,0,B,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q04_C.png,347,199,466,259,119,60
4461f793dbb45aea03a5.jpg,answer,answer_1,4,3,D,0,B,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q04_D.png,474,199,593,259,119,60
4461f793dbb45aea03a5.jpg,answer,answer_1,5,0,A,0,D,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q05_A.png,93,265,212,325,119,60
4461f793dbb45aea03a5.jpg,answer,answer_1,5,1,B,0,D,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q05_B.png,220,265,339,325,119,60
4461f793dbb45aea03a5.jpg,answer,answer_1,5,2,C,0,D,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q05_C.png,347,265,466,325,119,60
4461f793dbb45aea03a5.jpg,answer,answer_1,5,3,D,1,D,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q05_D.png,474,265,593,325,119,60
4461f793dbb45aea03a5.jpg,answer,answer_1,6,0,A,0,B,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q06_A.png,93,331,212,390,119,59
4461f793dbb45aea03a5.jpg,answer,answer_1,6,1,B,1,B,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_1\4461f793dbb45aea03a5\answer_1_q06_B.png,220,331,339,390,119,59
4461f793dbb45aea03a5.jpg,answer,answer_1,6,2,C,0,B,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q06_C.png,347,331,466,390,119,59
4461f793dbb45aea03a5.jpg,answer,answer_1,6,3,D,0,B,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q06_D.png,474,331,593,390,119,59
4461f793dbb45aea03a5.jpg,answer,answer_1,7,0,A,0,C,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q07_A.png,93,396,212,456,119,60
4461f793dbb45aea03a5.jpg,answer,answer_1,7,1,B,0,C,True,normalized\4461f793dbb45aea03a5\answer_1.png,cells\answer\label_0\4461f793dbb45aea03a5\answer_1_q07_B.png,220,396,339,456,119,60
